date,open,high,low,close,ticker
2021-10-06,142.48,143.37,140.89,142.36,IBM
2021-10-07,142.73,143.395,141.53,141.81,IBM
2021-10-08,141.81,143.65,141.05,143.22,IBM
2021-10-11,143.5,144.08,142.4,142.43,IBM
2021-10-12,142.21,142.3,140.3,140.47,IBM
2021-10-13,140.52,141.41,139.66,140.76,IBM
2021-10-14,141.04,143.92,141.01,143.39,IBM
2021-10-15,143.39,144.85,142.79,144.61,IBM
2021-10-18,144.0,144.94,141.759,142.32,IBM
2021-10-19,141.08,142.94,140.5201,141.98,IBM
2021-10-20,141.68,142.2,140.7,141.9,IBM
2021-10-21,133.51,133.72,128.1,128.33,IBM
2021-10-22,128.05,130.25,126.611,127.88,IBM
2021-10-25,127.53,128.65,126.94,127.64,IBM
2021-10-26,127.52,128.3,126.755,127.13,IBM
2021-10-27,127.44,127.88,125.01,125.17,IBM
2021-10-28,125.17,126.31,124.62,125.84,IBM
2021-10-29,125.43,126.32,124.91,125.1,IBM
2021-11-01,125.05,126.31,123.8375,126.28,IBM
2021-11-02,126.3,127.17,124.91,126.18,IBM
2021-11-03,126.23,127.29,125.68,127.13,IBM
2021-11-04,123.05,123.34,119.9,120.85,IBM
2021-11-05,121.43,123.77,121.43,123.61,IBM
2021-11-08,123.985,124.78,123.53,124.54,IBM
2021-11-09,122.56,122.9,120.26,120.85,IBM
2021-11-10,121.0,122.43,119.932,120.22,IBM
2021-11-11,120.9,121.7894,120.08,120.27,IBM
2021-11-12,120.0,120.64,118.78,118.96,IBM
2021-11-15,119.54,120.16,118.31,118.87,IBM
2021-11-16,118.92,119.9,118.42,118.46,IBM
2021-11-17,118.38,119.33,117.78,118.06,IBM
2021-11-18,118.36,118.36,116.31,116.66,IBM
2021-11-19,116.49,116.56,115.27,116.05,IBM
2021-09-13,167.92,168.12,165.13,165.8,JNJ
2021-09-14,166.4,166.54,164.51,164.8,JNJ
2021-09-15,165.0,165.96,164.31,165.42,JNJ
2021-09-16,165.65,166.46,164.19,165.22,JNJ
2021-09-17,164.3,164.91,163.555,164.75,JNJ
2021-09-20,163.48,165.17,162.165,163.81,JNJ
2021-09-21,164.61,165.98,164.24,164.53,JNJ
2021-09-22,165.35,165.95,163.63,163.93,JNJ
2021-09-23,164.4,165.77,164.15,164.86,JNJ
2021-09-24,164.75,165.65,163.89,164.36,JNJ
2021-09-27,164.0,164.36,162.85,163.17,JNJ
2021-09-28,163.1,163.91,161.771,162.81,JNJ
2021-09-29,163.0,164.66,162.78,164.02,JNJ
2021-09-30,164.64,165.4,161.41,161.5,JNJ
2021-10-01,161.53,161.9,158.62,160.47,JNJ
2021-10-04,159.99,161.0,157.6737,159.22,JNJ
2021-10-05,159.86,161.11,159.15,159.58,JNJ
2021-10-06,159.87,159.95,157.84,159.91,JNJ
2021-10-07,160.02,162.61,160.02,161.34,JNJ
2021-10-08,161.32,161.61,160.25,160.93,JNJ
2021-10-11,160.86,161.855,159.94,160.25,JNJ
2021-10-12,160.0,160.18,157.34,157.69,JNJ
2021-10-13,157.82,160.08,157.75,159.2,JNJ
2021-10-14,159.71,161.14,159.6,160.11,JNJ
2021-10-15,161.03,161.81,160.41,161.3,JNJ
2021-10-18,160.25,160.89,159.2,160.12,JNJ
2021-10-19,160.9,165.15,160.725,163.87,JNJ
2021-10-20,163.98,164.75,163.26,163.78,JNJ
2021-10-21,164.3,164.39,162.28,163.4,JNJ
2021-10-22,163.06,164.06,162.96,163.72,JNJ
2021-10-25,163.72,164.31,161.71,164.08,JNJ
2021-10-26,164.56,166.03,164.05,165.75,JNJ
2021-10-27,165.68,165.76,163.305,163.74,JNJ
2021-10-28,163.77,165.2,162.32,162.85,JNJ
2021-10-29,162.35,163.25,160.61,162.88,JNJ
2021-11-01,163.16,163.98,159.4,163.02,JNJ
2021-11-02,163.7,166.9818,162.98,165.59,JNJ
2021-11-03,165.04,165.77,163.43,165.06,JNJ
2021-11-04,164.935,164.99,162.67,164.6,JNJ
2021-11-05,162.48,164.6,162.2,163.43,JNJ
2021-11-08,163.68,164.17,162.01,162.87,JNJ
2021-11-09,162.61,163.59,162.02,162.51,JNJ
2021-11-10,162.53,164.84,162.35,164.27,JNJ
2021-11-11,163.49,163.81,162.4921,163.06,JNJ
2021-11-12,167.43,167.62,164.61,165.01,JNJ
2021-11-15,165.0,165.46,163.2164,163.52,JNJ
2021-11-16,163.18,164.35,162.62,162.67,JNJ
2021-11-17,162.87,163.86,161.79,163.28,JNJ
2021-11-18,163.45,164.47,162.13,162.4,JNJ
2021-11-19,163.04,163.19,161.78,162.89,JNJ
2021-09-13,158.53,160.05,158.07,159.86,JPM
2021-09-14,160.45,161.34,156.26,157.07,JPM
2021-09-15,156.72,158.69,156.47,158.16,JPM
2021-09-16,159.41,160.855,157.22,158.09,JPM
2021-09-17,157.38,159.01,157.0,157.68,JPM
2021-09-20,153.89,154.56,150.49,152.96,JPM
2021-09-21,153.53,154.55,152.5774,152.98,JPM
2021-09-22,155.2,157.25,155.1,155.91,JPM
2021-09-23,158.0,161.71,157.67,161.18,JPM
2021-09-24,161.44,163.59,160.82,163.04,JPM
2021-09-27,165.0,167.4,164.61,166.98,JPM
2021-09-28,167.7,169.3,165.66,166.08,JPM
2021-09-29,166.21,166.9,165.04,165.95,JPM
2021-09-30,166.92,166.99,162.79,163.69,JPM
2021-10-01,164.0,168.3,163.6,167.13,JPM
2021-10-04,166.97,170.437,165.73,166.95,JPM
2021-10-05,167.21,170.14,166.67,168.66,JPM
2021-10-06,167.99,169.1,166.0,169.02,JPM
2021-10-07,171.2,171.51,169.54,170.09,JPM
2021-10-08,170.02,171.34,169.295,170.22,JPM
2021-10-11,170.8,171.29,166.46,166.64,JPM
2021-10-12,165.75,166.6898,164.77,165.36,JPM
2021-10-13,164.07,165.41,160.6,161.0,JPM
2021-10-14,161.75,164.01,160.06,163.47,JPM
2021-10-15,165.35,167.17,164.14,166.61,JPM
2021-10-18,166.48,168.6084,165.91,166.55,JPM
2021-10-19,167.4,168.65,166.58,168.57,JPM
2021-10-20,168.3,170.87,167.46,170.84,JPM
2021-10-21,170.755,171.3293,168.68,169.5,JPM
2021-10-22,170.03,172.09,169.7,171.78,JPM
2021-10-25,172.71,172.96,170.48,170.94,JPM
2021-10-26,171.0,172.4902,170.54,171.4,JPM
2021-10-27,170.32,170.7,167.34,167.83,JPM
2021-10-28,168.3,170.51,167.96,170.36,JPM
2021-10-29,171.18,172.24,169.39,169.89,JPM
2021-11-01,172.04,172.33,169.005,169.8,JPM
2021-11-02,169.8,171.69,168.92,170.47,JPM
2021-11-03,170.13,171.13,169.15,170.53,JPM
2021-11-04,170.0,170.2,166.4901,168.29,JPM
2021-11-05,168.9,170.09,167.41,168.05,JPM
2021-11-08,169.05,170.92,168.74,169.06,JPM
2021-11-09,167.35,168.47,166.595,167.78,JPM
2021-11-10,167.45,168.95,167.09,167.62,JPM
2021-11-11,167.52,168.68,166.9,167.61,JPM
2021-11-12,167.65,167.74,165.72,166.86,JPM
2021-11-15,167.21,167.785,166.0,166.56,JPM
2021-11-16,167.06,167.07,165.12,165.36,JPM
2021-11-17,165.21,165.56,163.39,164.47,JPM
2021-11-18,164.39,164.85,162.56,163.05,JPM
2021-11-19,161.3,162.11,159.45,160.92,JPM
2021-09-13,240.83,241.8,239.84,241.21,MCD
2021-09-14,241.73,242.25,239.5,241.13,MCD
2021-09-15,240.47,241.27,238.18,240.98,MCD
2021-09-16,240.29,243.59,239.95,243.21,MCD
2021-09-17,243.84,244.63,241.88,242.49,MCD
2021-09-20,239.88,241.96,236.64,239.09,MCD
2021-09-21,240.0,242.35,239.4,240.5,MCD
2021-09-22,241.8,245.86,241.465,243.13,MCD
2021-09-23,243.74,245.95,243.53,244.78,MCD
2021-09-24,246.64,247.38,245.24,246.42,MCD
2021-09-27,246.0,248.9,245.275,248.11,MCD
2021-09-28,247.29,247.71,242.91,243.77,MCD
2021-09-29,244.38,245.71,243.15,244.28,MCD
2021-09-30,244.77,245.4208,240.82,241.11,MCD
2021-10-01,243.07,244.69,240.25,242.93,MCD
2021-10-04,242.06,244.81,241.86,243.08,MCD
2021-10-05,243.97,246.88,243.01,245.22,MCD
2021-10-06,244.56,247.16,243.02,247.1,MCD
2021-10-07,248.0,249.95,247.68,248.32,MCD
2021-10-08,249.25,249.63,247.11,247.7,MCD
2021-10-11,248.1,249.14,246.45,246.58,MCD
2021-10-12,247.73,248.6,244.175,244.52,MCD
2021-10-13,243.27,243.872,239.9,242.65,MCD
2021-10-14,242.88,245.42,242.04,244.55,MCD
2021-10-15,245.24,246.38,241.99,242.25,MCD
2021-10-18,242.42,243.45,241.13,242.26,MCD
2021-10-19,243.22,243.93,241.53,242.77,MCD
2021-10-20,240.4,242.645,239.285,239.72,MCD
2021-10-21,240.17,241.9096,239.31,241.4,MCD
2021-10-22,240.71,242.24,238.0,238.44,MCD
2021-10-25,239.23,239.25,236.5,237.34,MCD
2021-10-26,237.47,238.4,236.14,236.42,MCD
2021-10-27,241.05,244.62,238.85,242.73,MCD
2021-10-28,243.4,246.08,242.53,245.5,MCD
2021-10-29,243.0,246.09,242.47,245.55,MCD
2021-11-01,245.8,251.69,245.34,250.58,MCD
2021-11-02,251.76,252.22,248.1646,249.24,MCD
2021-11-03,247.99,251.125,247.91,250.4,MCD
2021-11-04,251.12,254.18,250.2,253.46,MCD
2021-11-05,254.69,257.53,254.62,254.71,MCD
2021-11-08,254.78,255.65,251.93,253.1,MCD
2021-11-09,252.91,253.69,250.45,252.65,MCD
2021-11-10,250.81,253.72,250.81,253.13,MCD
2021-11-11,253.33,253.33,249.26,250.16,MCD
2021-11-12,250.15,251.01,248.89,250.67,MCD
2021-11-15,250.67,253.76,250.67,252.94,MCD
2021-11-16,253.5,254.19,252.38,252.46,MCD
2021-11-17,252.41,253.335,250.52,252.69,MCD
2021-11-18,253.16,253.49,251.08,253.48,MCD
2021-11-19,253.29,253.32,250.225,251.95,MCD
2021-09-13,73.77,73.83,72.865,73.18,MRK
2021-09-14,73.05,73.14,72.06,72.11,MRK
2021-09-15,72.075,73.15,71.88,72.81,MRK
2021-09-16,73.02,73.02,71.69,71.97,MRK
2021-09-17,71.19,72.0,70.89,71.68,MRK
2021-09-20,71.16,72.615,71.12,71.93,MRK
2021-09-21,72.48,72.68,71.77,71.97,MRK
2021-09-22,72.33,72.4106,71.86,72.04,MRK
2021-09-23,72.68,74.04,72.57,73.05,MRK
2021-09-24,73.59,74.63,73.35,73.61,MRK
2021-09-27,73.51,74.2661,73.34,73.36,MRK
2021-09-28,73.55,73.82,72.66,73.32,MRK
2021-09-29,73.61,75.7,73.575,75.09,MRK
2021-09-30,75.58,76.65,75.1,75.11,MRK
2021-10-01,81.56,84.34,80.63,81.4,MRK
2021-10-04,84.17,84.56,82.42,83.1,MRK
2021-10-05,82.78,83.39,81.3,81.6,MRK
2021-10-06,81.5,81.68,80.15,80.66,MRK
2021-10-07,81.54,82.6699,81.03,81.94,MRK
2021-10-08,81.67,81.8,80.525,80.63,MRK
2021-10-11,81.635,81.635,79.87,79.93,MRK
2021-10-12,80.18,80.18,79.245,79.59,MRK
